prediction_file,ground_truth_file,rmse,mae,delta1,delta2,delta3
img_0025.png,scroll_down\2021-10-16-125159_0\25.png,97.41277313232422,80.61199188232422,0.1919031241043279,0.28492404700487245,0.39454714817999426
img_0026.png,scroll_down\2021-10-16-125159_0\26.png,99.08125305175781,82.81603240966797,0.18281286027207747,0.2764799976942587,0.38307729997694256
img_0027.png,scroll_down\2021-10-16-125159_0\27.png,96.5623550415039,80.6360092163086,0.1896729480497165,0.28234005384042615,0.3832299959906066
img_0028.png,scroll_down\2021-10-16-125159_0\28.png,98.10950469970703,82.01575469970703,0.19317953357458786,0.2784838302027687,0.38259305531621574
img_0029.png,scroll_down\2021-10-16-125159_0\29.png,99.16918182373047,83.51028442382812,0.18035560653857183,0.27272010324060797,0.3801405219386292
img_0030.png,scroll_down\2021-10-16-125159_0\30.png,97.30339050292969,80.88130187988281,0.18680364116701126,0.27511917068688263,0.38278916838961635
img_0031.png,scroll_down\2021-10-16-125159_0\31.png,97.45999908447266,80.5118179321289,0.18610058560110232,0.27631257894132505,0.38188583649098634
img_0032.png,scroll_down\2021-10-16-125159_0\32.png,95.4686050415039,80.94047546386719,0.18507243258749284,0.2712134251290878,0.3793459552495697
img_0033.png,scroll_down\2021-10-16-125159_0\33.png,97.7280502319336,81.25228881835938,0.18285812830535755,0.2765865716256611,0.3795053460565647
img_0034.png,scroll_down\2021-10-16-125159_0\34.png,97.11795806884766,79.93751525878906,0.19253957102712624,0.2877501863852727,0.38092131674026497
img_0035.png,scroll_down\2021-10-16-125159_0\35.png,99.06194305419922,82.5699691772461,0.18833981359711818,0.2801761106981531,0.38673237463548515
img_0036.png,scroll_down\2021-10-16-125159_0\36.png,98.36015319824219,82.77095031738281,0.18318829793324554,0.27129014713459665,0.38865431957405394
img_0037.png,scroll_down\2021-10-16-125159_0\37.png,98.35381317138672,82.47175598144531,0.18425450424604084,0.27450438948817996,0.38741177989442277
img_0038.png,scroll_down\2021-10-16-125159_0\38.png,97.03653717041016,82.01351165771484,0.18835547504025765,0.27608479986197376,0.38769913158500113
img_0039.png,scroll_down\2021-10-16-125159_0\39.png,97.83548736572266,82.6683120727539,0.18744968661951583,0.2712933413834742,0.38832945201541025
